Year,Team,Player,Rk,G,Date,Age,Tm,Opp,Difference,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,Chicago Bulls,DeMar DeRozan,1,1,10/19/2022,33-073,CHI,MIA,W (+8),1,36:08:00,14,22,0.636,2,3,0.667,7,11,0.636,1,5,6,9,2,1,1,3,37,34.6,13
2022,Chicago Bulls,DeMar DeRozan,2,2,10/21/2022,33-075,CHI,WAS,L (-2),1,36:47:00,11,23,0.478,0,2,0,10,11,0.909,1,5,6,6,1,0,3,1,32,23.9,1
2022,Chicago Bulls,DeMar DeRozan,3,3,10/22/2022,33-076,CHI,CLE,L (-32),1,32:31:00,3,9,0.333,0,0,,7,7,1,0,2,2,1,2,0,0,2,13,10.4,-6
2022,Chicago Bulls,DeMar DeRozan,4,4,10/24/2022,33-078,CHI,BOS,W (+18),1,32:45:00,10,17,0.588,0,0,,5,5,1,0,5,5,5,1,0,3,1,25,19.7,1
2022,Chicago Bulls,DeMar DeRozan,5,5,10/26/2022,33-080,CHI,IND,W (+15),1,32:17:00,6,14,0.429,0,1,0,5,5,1,0,1,1,6,0,0,3,5,17,9.1,-3
2022,Chicago Bulls,DeMar DeRozan,6,6,10/28/2022,33-082,CHI,SAS,L (-5),1,35:33:00,11,20,0.55,0,1,0,11,12,0.917,0,1,1,1,1,0,0,1,33,24.6,-15
2022,Chicago Bulls,DeMar DeRozan,7,7,10/29/2022,33-083,CHI,PHI,L (-5),1,34:15:00,7,12,0.583,1,2,0.5,9,10,0.9,0,3,3,4,0,0,4,2,24,16.9,2
2022,Chicago Bulls,DeMar DeRozan,8,8,11/1/2022,33-086,CHI,BRK,W (+9),1,32:45:00,8,21,0.381,1,2,0.5,3,3,1,0,4,4,1,3,0,1,2,20,11.6,-1
2022,Chicago Bulls,DeMar DeRozan,9,9,11/2/2022,33-087,CHI,CHO,W (+18),1,28:17:00,2,11,0.182,0,1,0,5,5,1,2,6,8,5,1,1,5,2,9,4.7,-9
2022,Chicago Bulls,DeMar DeRozan,10,10,11/4/2022,33-089,CHI,BOS,L (-4),1,35:52:00,13,23,0.565,0,3,0,20,22,0.909,0,3,3,5,2,1,2,3,46,38.2,10
2022,Chicago Bulls,DeMar DeRozan,11,11,11/6/2022,33-091,CHI,TOR,L (-9),1,37:29:00,7,9,0.778,0,1,0,6,6,1,1,4,5,2,1,1,5,2,20,15.7,-8
2022,Chicago Bulls,DeMar DeRozan,12,12,11/7/2022,33-092,CHI,TOR,W (+14),1,35:38:00,2,6,0.333,0,1,0,5,6,0.833,0,6,6,7,1,0,2,4,9,9.3,7
2022,Chicago Bulls,DeMar DeRozan,13,13,11/9/2022,33-094,CHI,NOP,L (-4),1,36:38:00,14,26,0.538,0,2,0,5,6,0.833,0,3,3,3,1,1,3,5,33,19.7,-3
2022,Chicago Bulls,DeMar DeRozan,14,14,11/13/2022,33-098,CHI,DEN,L (-23),1,25:40:00,6,11,0.545,0,1,0,4,6,0.667,0,2,2,4,0,1,0,3,16,12.8,-26
2022,Chicago Bulls,DeMar DeRozan,15,15,11/16/2022,33-101,CHI,NOP,L (-14),1,30:53:00,11,15,0.733,0,1,0,6,7,0.857,1,3,4,7,0,0,0,3,28,26.8,-14
2022,Chicago Bulls,DeMar DeRozan,16,16,11/18/2022,33-103,CHI,ORL,L (-1),1,43:38:00,16,30,0.533,1,2,0.5,8,9,0.889,1,3,4,2,0,0,2,2,41,26.2,13
2022,Chicago Bulls,DeMar DeRozan,17,17,11/21/2022,33-106,CHI,BOS,W (+14),1,35:03:00,11,24,0.458,3,3,1,3,3,1,0,8,8,4,1,0,2,3,28,18.6,20
